index;state;date;country;recovered
6208;Montserrat;2020-02-15;United Kingdom;0.0
6209;New Caledonia;2020-02-15;France;0.0
6210;New South Wales;2020-02-15;Australia;4.0
6211;Ningxia;2020-02-15;China;33.0
6212;Northern Territory;2020-02-15;Australia;0.0
6213;Hunan;2020-02-15;China;425.0
6214;Qinghai;2020-02-15;China;13.0
6215;Reunion;2020-02-15;France;0.0
6216;Saint Barthelemy;2020-02-15;France;0.0
6217;Saint Pierre and Miquelon;2020-02-15;France;0.0
6218;Shaanxi;2020-02-15;China;60.0
6219;Shandong;2020-02-15;China;156.0
6220;Shanghai;2020-02-15;China;124.0
6221;Shanxi;2020-02-15;China;46.0
6222;Sichuan;2020-02-15;China;119.0
6223;Sint Maarten;2020-02-15;Netherlands;0.0
6224;South Australia;2020-02-15;Australia;0.0
6225;St Martin;2020-02-15;France;0.0
6226;Tasmania;2020-02-15;Australia;0.0
6227;Tianjin;2020-02-15;China;37.0
6228;Queensland;2020-02-15;Australia;0.0
6229;Tibet;2020-02-15;China;1.0
6230;Hubei;2020-02-15;China;5623.0
6231;Henan;2020-02-15;China;391.0
6232;no;2020-02-15;Finland;1.0
6233;Anguilla;2020-02-15;United Kingdom;0.0
6234;Anhui;2020-02-15;China;221.0
6235;Aruba;2020-02-15;Netherlands;0.0
6236;Australian Capital Territory;2020-02-15;Australia;0.0
6237;Beijing;2020-02-15;China;98.0
6238;Bermuda;2020-02-15;United Kingdom;0.0
6239;Bonaire, Sint Eustatius and Saba;2020-02-15;Netherlands;0.0
6240;British Virgin Islands;2020-02-15;United Kingdom;0.0
6241;Cayman Islands;2020-02-15;United Kingdom;0.0
6242;Channel Islands;2020-02-15;United Kingdom;0.0
6243;Chongqing;2020-02-15;China;184.0
6244;Curacao;2020-02-15;Netherlands;0.0
6245;Hong Kong;2020-02-15;China;1.0
6246;Falkland Islands (Malvinas);2020-02-15;United Kingdom;0.0
6247;French Guiana;2020-02-15;France;0.0
6248;French Polynesia;2020-02-15;France;0.0
6249;Fujian;2020-02-15;China;71.0
6250;Gansu;2020-02-15;China;49.0
6251;Gibraltar;2020-02-15;United Kingdom;0.0
6252;Greenland;2020-02-15;Denmark;0.0
6253;Guadeloupe;2020-02-15;France;0.0
6254;Guangdong;2020-02-15;China;410.0
6255;Guangxi;2020-02-15;China;44.0
6256;Guizhou;2020-02-15;China;41.0
6257;Hainan;2020-02-15;China;39.0
6258;Hebei;2020-02-15;China;101.0
6259;Heilongjiang;2020-02-15;China;68.0
6260;Faroe Islands;2020-02-15;Denmark;0.0
6261;Turks and Caicos Islands;2020-02-15;United Kingdom;0.0
6262;Inner Mongolia;2020-02-15;China;7.0
6263;Western Australia;2020-02-15;Australia;0.0
6264;no;2020-02-15;Cambodia;1.0
6265;no;2020-02-15;Cameroon;0.0
6266;no;2020-02-15;Canada;1.0
6267;no;2020-02-15;Central African Republic;0.0
6268;no;2020-02-15;Chad;0.0
6269;no;2020-02-15;Chile;0.0
6270;no;2020-02-15;Colombia;0.0
6271;no;2020-02-15;Comoros;0.0
6272;no;2020-02-15;Congo (Brazzaville);0.0
6273;no;2020-02-15;Congo (Kinshasa);0.0
6274;no;2020-02-15;Costa Rica;0.0
6275;no;2020-02-15;Cote d'Ivoire;0.0
6276;no;2020-02-15;Croatia;0.0
